RandomScale	LoopCount	MaxMinReached	Probability
   1	1000	   0	0.000000	
  11	1000	   1	0.001000	
  21	1000	   3	0.003000	
  31	1000	  12	0.012000	
  41	1000	  22	0.022000	
  51	1000	  36	0.036000	
  61	1000	  59	0.059000	
  71	1000	  70	0.070000	
  81	1000	  74	0.074000	
  91	1000	  88	0.088000	
 101	1000	 110	0.110000	
 111	1000	 140	0.140000	
 121	1000	 140	0.140000	
 131	1000	 163	0.163000	
 141	1000	 186	0.186000	
 151	1000	 182	0.182000	
 161	1000	 215	0.215000	
 171	1000	 237	0.237000	
 181	1000	 271	0.271000	
 191	1000	 276	0.276000	
 201	1000	 314	0.314000	
 211	1000	 332	0.332000	
 221	1000	 318	0.318000	
 231	1000	 372	0.372000	
 241	1000	 371	0.371000	
 251	1000	 403	0.403000	
 261	1000	 370	0.370000	
 271	1000	 453	0.453000	
 281	1000	 445	0.445000	
 291	1000	 452	0.452000	
 301	1000	 450	0.450000	
 311	1000	 513	0.513000	
 321	1000	 503	0.503000	
 331	1000	 518	0.518000	
 341	1000	 535	0.535000	
 351	1000	 551	0.551000	
 361	1000	 591	0.591000	
 371	1000	 593	0.593000	
 381	1000	 588	0.588000	
 391	1000	 611	0.611000	
 401	1000	 640	0.640000	
 411	1000	 648	0.648000	
 421	1000	 642	0.642000	
 431	1000	 682	0.682000	
 441	1000	 689	0.689000	
 451	1000	 699	0.699000	
 461	1000	 699	0.699000	
 471	1000	 730	0.730000	
 481	1000	 734	0.734000	
 491	1000	 703	0.703000	
 501	1000	 712	0.712000	
 511	1000	 740	0.740000	
 521	1000	 765	0.765000	
 531	1000	 732	0.732000	
 541	1000	 799	0.799000	
 551	1000	 778	0.778000	
 561	1000	 798	0.798000	
 571	1000	 825	0.825000	
 581	1000	 802	0.802000	
 591	1000	 804	0.804000	
 601	1000	 822	0.822000	
 611	1000	 832	0.832000	
 621	1000	 837	0.837000	
 631	1000	 849	0.849000	
 641	1000	 863	0.863000	
 651	1000	 855	0.855000	
 661	1000	 853	0.853000	
 671	1000	 869	0.869000	
 681	1000	 864	0.864000	
 691	1000	 861	0.861000	
 701	1000	 886	0.886000	
 711	1000	 897	0.897000	
 721	1000	 878	0.878000	
 731	1000	 889	0.889000	
 741	1000	 891	0.891000	
 751	1000	 888	0.888000	
 761	1000	 895	0.895000	
 771	1000	 893	0.893000	
 781	1000	 901	0.901000	
 791	1000	 911	0.911000	
 801	1000	 927	0.927000	
 811	1000	 925	0.925000	
 821	1000	 923	0.923000	
 831	1000	 918	0.918000	
 841	1000	 938	0.938000	
 851	1000	 933	0.933000	
 861	1000	 933	0.933000	
 871	1000	 929	0.929000	
 881	1000	 950	0.950000	
 891	1000	 923	0.923000	
 901	1000	 947	0.947000	
 911	1000	 941	0.941000	
 921	1000	 945	0.945000	
 931	1000	 947	0.947000	
 941	1000	 945	0.945000	
 951	1000	 944	0.944000	
 961	1000	 945	0.945000	
 971	1000	 961	0.961000	
 981	1000	 969	0.969000	
 991	1000	 950	0.950000	
1001	1000	 962	0.962000	
1011	1000	 958	0.958000	
1021	1000	 962	0.962000	
1031	1000	 964	0.964000	
1041	1000	 970	0.970000	
1051	1000	 968	0.968000	
1061	1000	 970	0.970000	
1071	1000	 978	0.978000	
1081	1000	 974	0.974000	
1091	1000	 979	0.979000	
1101	1000	 973	0.973000	
1111	1000	 975	0.975000	
1121	1000	 981	0.981000	
1131	1000	 973	0.973000	
1141	1000	 979	0.979000	
1151	1000	 974	0.974000	
1161	1000	 980	0.980000	
1171	1000	 984	0.984000	
1181	1000	 984	0.984000	
1191	1000	 980	0.980000	
1201	1000	 986	0.986000	
1211	1000	 985	0.985000	
1221	1000	 981	0.981000	
1231	1000	 982	0.982000	
1241	1000	 981	0.981000	
1251	1000	 983	0.983000	
1261	1000	 982	0.982000	
1271	1000	 984	0.984000	
1281	1000	 986	0.986000	
1291	1000	 981	0.981000	
1301	1000	 984	0.984000	
1311	1000	 989	0.989000	
1321	1000	 990	0.990000	
1331	1000	 989	0.989000	
1341	1000	 989	0.989000	
1351	1000	 990	0.990000	
1361	1000	 991	0.991000	
1371	1000	 988	0.988000	
1381	1000	 995	0.995000	
1391	1000	 992	0.992000	
1401	1000	 990	0.990000	
1411	1000	 991	0.991000	
1421	1000	 995	0.995000	
1431	1000	 997	0.997000	
1441	1000	 994	0.994000	
1451	1000	 992	0.992000	
1461	1000	 993	0.993000	
1471	1000	 995	0.995000	
1481	1000	 998	0.998000	
1491	1000	 993	0.993000	
1501	1000	 997	0.997000	
1511	1000	 997	0.997000	
1521	1000	 996	0.996000	
1531	1000	 992	0.992000	
1541	1000	 996	0.996000	
1551	1000	1000	1.000000	
1561	1000	 994	0.994000	
1571	1000	 995	0.995000	
1581	1000	 996	0.996000	
1591	1000	 991	0.991000	
1601	1000	 997	0.997000	
1611	1000	 997	0.997000	
1621	1000	 994	0.994000	
1631	1000	 996	0.996000	
1641	1000	 998	0.998000	
1651	1000	 996	0.996000	
1661	1000	 997	0.997000	
1671	1000	 996	0.996000	
1681	1000	 998	0.998000	
1691	1000	 998	0.998000	
1701	1000	 998	0.998000	
1711	1000	 998	0.998000	
1721	1000	 996	0.996000	
1731	1000	1000	1.000000	
1741	1000	1000	1.000000	
1751	1000	 999	0.999000	
1761	1000	 998	0.998000	
1771	1000	 998	0.998000	
1781	1000	 999	0.999000	
1791	1000	 999	0.999000	
1801	1000	 997	0.997000	
1811	1000	 997	0.997000	
1821	1000	 998	0.998000	
1831	1000	 998	0.998000	
1841	1000	 998	0.998000	
1851	1000	1000	1.000000	
1861	1000	1000	1.000000	
1871	1000	 998	0.998000	
